utc_time,asset,timeframe,close,trend,rsi,atr,atr_pct,regime,entropy,adx
2026-07-21 11:35,BTC-USD,4h,66253.99,UP,67.3,664.99,1.00,Ranging,1.945,19.7
2026-07-21 11:35,ETH-USD,4h,1932.04,UP,70.6,24.69,1.28,Ranging,1.955,21.7
2026-07-21 11:35,SOL-USD,4h,78.28,UP,66.0,0.98,1.25,Chaotic,1.986,23.1
2026-07-21 12:05,BTC-USD,4h,66340.00,UP,67.9,664.99,1.00,Ranging,1.945,19.7
2026-07-21 12:05,ETH-USD,4h,1935.14,UP,71.9,24.69,1.28,Ranging,1.956,21.7
2026-07-21 12:05,SOL-USD,4h,78.36,UP,67.0,0.98,1.25,Chaotic,1.986,23.1
2026-07-22 06:21,BTC-USD,4h,65921.99,UP,57.8,636.49,0.97,Ranging,1.938,23.4
2026-07-22 06:21,ETH-USD,4h,1918.61,UP,60.5,23.15,1.21,Trending,1.936,26.7
2026-07-22 06:21,SOL-USD,4h,77.25,UP,51.5,0.92,1.19,Chaotic,1.967,23.7
2026-07-22 08:05,BTC-USD,4h,65971.99,UP,58.1,611.74,0.93,Ranging,1.940,22.6
2026-07-22 08:05,ETH-USD,4h,1917.56,UP,59.5,22.12,1.15,Trending,1.935,26.2
2026-07-22 08:05,SOL-USD,4h,77.13,UP,50.2,0.87,1.13,Chaotic,1.964,22.4
2026-07-22 12:05,BTC-USD,4h,65964.24,UP,57.8,584.33,0.89,Ranging,1.941,22.3
2026-07-22 12:05,ETH-USD,4h,1925.31,UP,61.6,21.80,1.13,Trending,1.936,26.2
2026-07-22 12:05,SOL-USD,4h,77.45,UP,53.2,0.86,1.11,Chaotic,1.964,21.6
2026-07-23 06:35,BTC-USD,4h,65717.20,UP,53.0,591.88,0.90,Ranging,1.936,18.3
2026-07-23 06:35,ETH-USD,4h,1924.26,UP,56.6,23.72,1.23,Trending,1.944,28.9
2026-07-23 06:35,SOL-USD,4h,77.49,UP,51.4,0.96,1.24,Chaotic,1.962,24.7
2026-07-23 08:05,BTC-USD,4h,65441.95,UP,49.3,609.19,0.93,Ranging,1.937,18.1
2026-07-23 08:05,ETH-USD,4h,1915.58,UP,53.4,24.13,1.26,Trending,1.944,28.5
2026-07-23 08:05,SOL-USD,4h,77.22,UP,49.0,0.99,1.28,Chaotic,1.962,24.1
2026-07-23 12:05,BTC-USD,4h,65559.99,UP,50.9,553.44,0.84,Ranging,1.930,15.9
2026-07-23 12:05,ETH-USD,4h,1927.25,UP,57.3,22.13,1.15,Trending,1.945,28.3
2026-07-23 12:05,SOL-USD,4h,77.67,UP,52.9,0.91,1.17,Chaotic,1.964,24.1
2026-07-24 07:15,BTC-USD,4h,65756.00,UP,54.6,581.12,0.88,Ranging,1.923,15.7
2026-07-24 07:15,ETH-USD,4h,1908.73,UP,52.2,25.13,1.32,Ranging,1.952,22.8
2026-07-24 07:15,SOL-USD,4h,76.39,MIXED,45.3,0.98,1.28,Chaotic,1.968,20.4
2026-07-24 08:05,BTC-USD,4h,65438.09,UP,50.5,547.04,0.84,Ranging,1.920,15.0
2026-07-24 08:05,ETH-USD,4h,1892.52,UP,47.1,23.58,1.25,Ranging,1.954,21.2
2026-07-24 08:05,SOL-USD,4h,76.06,MIXED,42.3,0.91,1.20,Chaotic,1.967,19.8
